,Tweets
149,@david21873165 Hi David how may we help you? ^EC
150,"@silasmparadza Hi Buddie, we apologize for the experience. May you kindly check your DM and respond for further assistance. ^EC"
151,"@elly95293286 Hi @elly95293286, we apologize for the experience. Kindly note that our @VayaAfrica Team are looking… https://t.co/CBYG3soxhM"
152,"@hlanaic Hi Hlanai, we are sorry you feel this way. May you kindly DM your mobile number, date, amount and a brief… https://t.co/HvsWO3Wwkj"
153,"@Prockqid Hi Progressive, we apologize for the experience. May you kindly DM your mobile number and the service so… https://t.co/sGOPnPQPLB"
154,"@MonicaRugoho Hi Buddie, in cases where you have bundles &amp; they are failing to connect we recommend that you restar… https://t.co/MVefaaTX4g"
155,"@Kandare_Sam Hi Buddie, may you kindly DM your mobile number so we can check and assist. ^EC"
156,"@chakwizira2 Hi Buddie, may you kindly DM your mobile number so we check and assist. ^EC"
157,"@nyashazamani Hi Nyasha, may you kindly DM your mobile number, date and amount so we can check and assist. ^EC"
158,"@CyrilNhidza Hey there, may you DM your number so we can deactivate the service. ^EVM"
159,@FortuneMutesva Good morning Fortu. The token was not generated. We have engaged Powertel for further assistance. I… https://t.co/P7j28JvrMX
160,"@bull_eland Hey there, we are checking for your details and we will get back to you soon. ^EVM"
161,"@mutswana21 Tinokutendai nekutitsigira, Madzibaba. Tirikupagadzirisa. ^SC https://t.co/KQDj7JxqlM"
162,@munyagwetso Kulungile @munyagwetso. Sesithumele inombolo zenu kulabo abaza converter. Lizabona nge sms ilazisa ukuthi sebeqedile. ^SC
163,"@munya_eddie Hie @munya_eddie, kindly check your DM for our response. ^SC"
164,"@NZhuwawo Hie @NZhuwawo, kindly check your DM for our response. ^SC"
165,"@NZhuwawo Hie @NZhuwawo, kindly check your DM for our response. ^SC"
166,@GregTheMarketer We understand your frustration @GregTheMarketer. Kindly visit https://t.co/vNPJddkqfx &amp; Browse for… https://t.co/HNNDK6gRkR
167,"@keithnare_keith Hie Keith, thank you for getting in touch. Kindly DM your number so that we may investigate and assist. ^SC"
168,"@keithnare_keith Hie Keith, thank you for getting in touch. How may we assist you?"
169,@mutswana21 Makadini Madzibaba? Tinokutendai nekutibata kwamaita. Tinoda kukuzivisai kuti ma bundles e twitter arik… https://t.co/OiClvyymji
170,"@nyoni_amos @munyagwetso Yebo @munyagwetso, kuyayenza ukuwa converter. Sicela inombolo zocingo liphinde lisazise uk… https://t.co/csi3Z8av03"
171,"@BrightMutekwa Hie @BrightMutekwa, thank you for getting in touch. Kindly DM the mobile number that purchased the a… https://t.co/vmFLLQQC5a"
172,"@FortuneMutesva Hie Fortu, thank you for getting in touch. Kindly provide your mobile number, I.D number, the date… https://t.co/kdzei22zOx"
173,"@lebirdchief Hie @lebirdchief, thank you for getting in touch. Kindly DM your mobile number so that we may investigate and assist. ^SC"
174,"@claytonwynter Hie Clayton, kindly check your DM for our response. ^SC"
175,"@MkandawireEzna Hie @MkandawireEzna, kindly check your DM for our response. ^SC"
176,"@mukwidigwi Hie Brian, thank you for clarifying. We have noted that you indeed purchased $5 airtime more than twice… https://t.co/oJQ1nMevgR"
177,"@missile_zw Hie @missile_zw, thank you so much for such feedback. We will forward this to the team! Stay inspired. ^SC"
178,"@hrtaffy Hie Hilda, our sincere apologies for the unpleasant experience. Kindly DM your mobile number so that we ma… https://t.co/eD8v5G6EA3"
179,"@CjjackCypeva Hie Clyde, our sincere apologies for the late response. Kindly check your DM for our response. ^SC"
180,"@Julery16 Hie  @Julery16, our sincere apologies for the unpleasant experience. Kindly DM your mobile number and the… https://t.co/9CGcuIBBdB"
181,"@takumandura Hie @takumandura, we understand your frustration. Kindly note that our support team is working on the… https://t.co/dRU0SQgMIT"
182,"@Charlenenyoni99 Hie Charlene, thank you for getting in touch. We have noted that you indeed purchased 4*$3 bundles… https://t.co/c2M08ny6Rc"
183,"@GregTheMarketer Hie @GregTheMarketer, thank you for getting in touch. Kindly share your experience so that we may assist. ^SC"
184,"@ericfusire Hie @ericfusire, kindly DM your mobile number and the location that you tried to connect. ^SC"
185,"@TChinoera Hie @TChinoera, our sincere apologies for the experience. Kindly furnish us with more information so that we may assist. ^SC"
186,"@_idaimuss Hie IAMM, kindly check your DM for our response. ^SC"
187,"@ManyangaFungai @EcoCashZW Hie Fungai, our sincere apologies for the unpleasant experience. Kindly DM your mobile n… https://t.co/3ykMFptTXs"
188,"@EcoCashZW @alycerue12 Hie @alycerue12, our sincere apologies for the experience. Kindly DM your mobile number and… https://t.co/xKWrXCBRYI"
189,"@The_Shoooter Hie Tiggs, we apologize for that experience. Kindly note that our technical team is working on resolv… https://t.co/p8NQeE3Aln"
190,@Octopuszim Makadini Octopus? Tanga tichikumbirawo kuti mutarisewo mhinduro yedu ku DM. ^SC
191,"@dumisan60781452 Hie Dumisani, kindly check your DM for our response. ^SC"
192,@winstonguzha @EcoCashZW kindly assist.
193,"@DiamondmrD Hie Mr D, our sincere apologies for the unpleasant experience. Kindly DM your mobile number and the dat… https://t.co/WFxyMt4F8y"
194,"@adammari76 Hie @adammari76, Thank you so much for such feedback, we really appreciate and value it! We will forward this to the team. ^SC"
195,"@lexchari82 @econetzimbabwe Hie Lexion, we apologize for that experience. Kindly note that our technical team is wo… https://t.co/giUrQagkbp"
196,"@ghakunavanhu Hie @ghakunavanhu, our sincere apologies for the unpleasant experience. Kindly note that we have esca… https://t.co/8snB2RRsBR"
197,"@TinasheSeremani Hie @TinasheSeremani, we understand your frustration. Kindly note that our support team is working… https://t.co/szWppSokBP"
198,"@fuechitare @EcoCashZW Hie Fue, thank you for getting in touch. Kindly check your DM for our response. ^SC"
199,"@zvidzmat Hie @zvidzmat, kindly DM and share your experience so that we may investigate and assist. ^SC"
200,"@rufaro_chirume Hie @rufaro_chirume, kindly check your DM for our response. ^SC"
201,"@mobymhlanga @EcoCashZW Hie Moby, thank you for getting in touch. Kindly check your DM for our response. ^SC"
202,@takumunyoro1 Makadini @takumunyoro1? Tinokutendai nekudaira nhare yedu. Kana muchida kuzobatsirwa zvimwe zvinoende… https://t.co/YHKBStTW84
203,"@mukwidigwi Hie Brian, our sincere apologies for the late response. Kindly advise the amount of the failed airtime… https://t.co/ETjTh0Udt7"
204,"@JosephineSitho2 Hie Josephine, thank you so much for such wonderful feedback, we really appreciate it. We have not… https://t.co/yrfrIsi45o"
205,@EscobarPabllo1 ✌️
206,@makamba_ryan Please check your DM for our response. ^PM
207,@nyashazamani Please note that the issue is still work in progress. You will receive an SMS notification upon resolution. ^PM
208,"@miss_tino2398 Thank you Tino for taking our call, have an inspired day. ^PM"
209,@david21873165 May you check your DM for our response. ^PM
210,"@miss_tino2398 Hi Tino, we are sorry about that. May you kindly DM us your mobile number, the date of purchase and… https://t.co/Sjbq5eaCHU"
211,"@bravon96 Hi @bravon96, may you kindly get in touch with Steward bank on its toll-free number 08088888 so that you… https://t.co/5BSStBGMC6"
212,@dumisan60781452 Kindly follow us back so that you are able to send through the information that we ask via DM. ^PM
213,"@terrypauno_esq Hie Terry, please dial *111# and follow prompts. ^TFM"
214,"@Octopuszim Hie Octopuszim, may you please direct message your mobile number and the recipient's number so that we… https://t.co/U4IQGCiSfP"
215,"@collinmuntary Hie Collin, the bundle was credited. Please check your SMS Bundle balance. ^TFM"
216,"@MarieAimee11 Hie Marie, thank you for getting in touch. May you please direct message your mobile number and the t… https://t.co/T12nJWZNVO"
217,"@dumisan60781452 Hie Dumisani, thank you for contacting us. May you kindly direct message us your mobile number so… https://t.co/8HQ8UfzOIx"
218,"@vargoe21 Hie Valentine Miller. Please note that our bundles are usage based. Usage may include downloads, uploads… https://t.co/9PB8YfuHgS"
219,"@makamba_ryan Hie @makamba_ryan, we are sorry for that experience. May you kindly direct message us your mobile num… https://t.co/qZl6oR34lG"
220,"@tshakadee Hie @tshakadee, may you please check your messages for our response. ^TFM"
221,"@david21873165 Hi @david21873165, kindly direct message us your mobile number and the date of the transaction so th… https://t.co/wJPNGVrbeP"
222,@emmah_emmahmac You are welcome.
